GO_ID	Namespace
GO:0000977	Molecular Function
GO:0000978	Molecular Function
GO:0000979	Molecular Function
GO:0000981	Molecular Function
GO:0000984	Molecular Function
GO:0000985	Molecular Function
GO:0000986	Molecular Function
GO:0000987	Molecular Function
GO:0000988	Molecular Function
GO:0000989	Molecular Function
GO:0000990	Molecular Function
GO:0000991	Molecular Function
GO:0000992	Molecular Function
GO:0000993	Molecular Function
GO:0000994	Molecular Function
GO:0000995	Molecular Function
GO:0001000	Molecular Function
GO:0001001	Molecular Function
GO:0001002	Molecular Function
GO:0001003	Molecular Function
GO:0001004	Molecular Function
GO:0001006	Molecular Function
GO:0001007	Molecular Function
GO:0001010	Molecular Function
GO:0001011	Molecular Function
GO:0001014	Biological Process
GO:0001015	Biological Process
GO:0001016	Molecular Function
GO:0001018	Molecular Function
GO:0001019	Molecular Function
GO:0001025	Molecular Function
GO:0001026	Molecular Function
GO:0001027	Molecular Function
GO:0001028	Molecular Function
GO:0001029	Molecular Function
GO:0001039	Molecular Function
GO:0001040	Molecular Function
GO:0001042	Molecular Function
GO:0001046	Molecular Function
GO:0001048	Molecular Function
GO:0001049	Molecular Function
GO:0001050	Molecular Function
GO:0001051	Molecular Function
GO:0001052	Molecular Function
GO:0001054	Molecular Function
GO:0001055	Molecular Function
GO:0001056	Molecular Function
GO:0001057	Molecular Function
GO:0001058	Molecular Function
GO:0001059	Biological Process
GO:0001060	Biological Process
GO:0001061	Molecular Function
GO:0001062	Molecular Function
GO:0001063	Molecular Function
GO:0001064	Molecular Function
GO:0001065	Molecular Function
GO:0001066	Molecular Function
GO:0001067	Molecular Function
GO:0001068	Molecular Function
GO:0001069	Molecular Function
GO:0001070	Molecular Function
GO:0001072	Molecular Function
GO:0001073	Molecular Function
GO:0001074	Molecular Function
GO:0001076	Molecular Function
GO:0001079	Biological Process
GO:0001080	Biological Process
GO:0001081	Biological Process
GO:0001082	Molecular Function
GO:0001083	Molecular Function
GO:0001084	Molecular Function
GO:0001086	Molecular Function
GO:0001087	Molecular Function
GO:0001088	Molecular Function
GO:0001089	Molecular Function
GO:0001090	Molecular Function
GO:0001091	Molecular Function
GO:0001092	Molecular Function
GO:0001093	Molecular Function
GO:0001094	Molecular Function
GO:0001095	Molecular Function
GO:0001096	Molecular Function
GO:0001097	Molecular Function
GO:0001098	Molecular Function
GO:0001099	Molecular Function
GO:0001100	Biological Process
GO:0001101	Biological Process
GO:0001108	Molecular Function
GO:0001109	Biological Process
GO:0001110	Biological Process
GO:0001111	Biological Process
GO:0001112	Biological Process
GO:0001113	Biological Process
GO:0001114	Cellular Component
GO:0001115	Biological Process
GO:0001116	Biological Process
GO:0001117	Biological Process
GO:0001118	Biological Process
GO:0001119	Biological Process
GO:0001120	Biological Process
GO:0001121	Biological Process
GO:0001122	Biological Process
GO:0001123	Biological Process
GO:0001124	Biological Process
GO:0001125	Biological Process
GO:0001126	Biological Process
GO:0001127	Biological Process
GO:0001128	Molecular Function
GO:0001129	Molecular Function
GO:0001132	Molecular Function
GO:0001134	Molecular Function
GO:0001135	Molecular Function
GO:0001139	Molecular Function
GO:0001147	Molecular Function
GO:0001149	Molecular Function
GO:0001152	Molecular Function
GO:0001153	Molecular Function
GO:0001154	Molecular Function
GO:0001155	Molecular Function
GO:0001156	Molecular Function
GO:0001161	Molecular Function
GO:0001162	Molecular Function
GO:0001163	Molecular Function
GO:0001164	Molecular Function
GO:0001165	Molecular Function
GO:0001167	Molecular Function
GO:0001168	Molecular Function
GO:0001169	Molecular Function
GO:0001170	Molecular Function
GO:0001171	Biological Process
GO:0001172	Biological Process
GO:0001173	Biological Process
GO:0001174	Biological Process
GO:0001175	Biological Process
GO:0001176	Biological Process
GO:0001177	Biological Process
GO:0001178	Biological Process
GO:0001179	Molecular Function
GO:0001181	Molecular Function
GO:0001182	Biological Process
GO:0001183	Biological Process
GO:0001184	Biological Process
GO:0001186	Molecular Function
GO:0001188	Biological Process
GO:0001190	Molecular Function
GO:0001191	Molecular Function
GO:0001192	Biological Process
GO:0001193	Biological Process
GO:0001194	Biological Process
GO:0001195	Biological Process
GO:0001196	Biological Process
GO:0001197	Biological Process
GO:0001198	Biological Process
GO:0001207	Biological Process
GO:0001208	Biological Process
GO:0001216	Molecular Function
GO:0001217	Molecular Function
GO:0001221	Molecular Function
GO:0001222	Molecular Function
GO:0001223	Molecular Function
GO:0001227	Molecular Function
GO:0001228	Molecular Function
GO:0001300	Biological Process
GO:0001301	Biological Process
GO:0001302	Biological Process
GO:0001303	Biological Process
GO:0001304	Biological Process
GO:0001305	Biological Process
GO:0001306	Biological Process
GO:0001307	Biological Process
GO:0001308	Biological Process
GO:0001309	Biological Process
GO:0001310	Biological Process
GO:0001311	Biological Process
GO:0001312	Biological Process
GO:0001313	Biological Process
GO:0001314	Biological Process
GO:0001315	Biological Process
GO:0001316	Biological Process
GO:0001317	Biological Process
GO:0001318	Biological Process
GO:0001319	Biological Process
GO:0001320	Biological Process
GO:0001321	Biological Process
GO:0001322	Biological Process
GO:0001323	Biological Process
GO:0001324	Biological Process
GO:0001325	Biological Process
GO:0001326	Biological Process
GO:0001400	Cellular Component
GO:0001401	Cellular Component
GO:0001402	Biological Process
GO:0001403	Biological Process
GO:0001404	Biological Process
GO:0001405	Cellular Component
GO:0001406	Molecular Function
GO:0001407	Biological Process
GO:0001408	Biological Process
GO:0001409	Molecular Function
GO:0001410	Biological Process
GO:0001411	Cellular Component
GO:0001501	Biological Process
GO:0001502	Biological Process
GO:0001503	Biological Process
GO:0001504	Biological Process
GO:0001505	Biological Process
GO:0001506	Biological Process
GO:0001507	Biological Process
GO:0001508	Biological Process
GO:0001509	Molecular Function
GO:0001510	Biological Process
